time,key
2021-02-05T16:35:06.923,"{'W'}"
2021-02-05T16:35:06.927,"{'W'}"
2021-02-05T16:35:06.931,"{'W'}"
2021-02-05T16:35:06.936,"{'W'}"
2021-02-05T16:35:06.941,"{'W'}"
2021-02-05T16:35:06.944,"{'W'}"
2021-02-05T16:35:06.949,"{'W'}"
2021-02-05T16:35:06.952,"{'W'}"
2021-02-05T16:35:06.957,"{'W'}"
2021-02-05T16:35:06.962,"{'W'}"
2021-02-05T16:35:06.967,"{'W'}"
2021-02-05T16:35:06.971,"{'W'}"
2021-02-05T16:35:06.976,"{'W'}"
2021-02-05T16:35:06.981,"{'W'}"
2021-02-05T16:35:06.985,"{'W'}"
2021-02-05T16:35:06.989,"{'W'}"
2021-02-05T16:35:06.993,"{'W'}"
2021-02-05T16:35:06.997,"{'W'}"
2021-02-05T16:35:07.001,"{'W'}"
2021-02-05T16:35:07.004,"{'W'}"
2021-02-05T16:35:07.008,"{'W'}"
2021-02-05T16:35:07.014,"{'W'}"
2021-02-05T16:35:07.019,"{'W'}"
2021-02-05T16:35:07.023,"{'W'}"
2021-02-05T16:35:07.027,"{'W'}"
2021-02-05T16:35:07.031,"{'W'}"
2021-02-05T16:35:07.035,"{'W'}"
2021-02-05T16:35:07.039,"{'W'}"
2021-02-05T16:35:07.043,"{'W'}"
2021-02-05T16:35:07.048,"{'W'}"
2021-02-05T16:35:07.051,"{'W'}"
2021-02-05T16:35:07.055,"{'W'}"
2021-02-05T16:35:07.059,"{'W'}"
2021-02-05T16:35:07.063,"{'W'}"
2021-02-05T16:35:07.067,"{'W'}"
2021-02-05T16:35:07.071,"{'W'}"
2021-02-05T16:35:07.075,"{'W'}"
2021-02-05T16:35:07.079,"{'W'}"
2021-02-05T16:35:07.082,"{'W'}"
2021-02-05T16:35:07.086,"{'W'}"
2021-02-05T16:35:07.091,"{'W'}"
2021-02-05T16:35:07.096,"{'W'}"
2021-02-05T16:35:07.100,"{'W'}"
2021-02-05T16:35:07.104,"{'W'}"
2021-02-05T16:35:07.109,"{'W'}"
2021-02-05T16:35:07.114,"{'W'}"
2021-02-05T16:35:07.117,"{'W'}"
2021-02-05T16:35:07.121,"{'W'}"
2021-02-05T16:35:07.125,"{'W'}"
2021-02-05T16:35:07.130,"{'W'}"
2021-02-05T16:35:07.133,"{'W'}"
2021-02-05T16:35:07.137,"{'W'}"
